"IdReparacion","IdMoto","IdUsuario","Descripcion","Estado","FechaInicio","FechaFin","Total","Fase"
"211","208","4349","Limpieza de sistema de inyección.","Finalizado","2026-03-18 00:00:00","2026-03-21 00:00:00","2292","Entregado"
"212","4155","3460","Cambio de cadena y sprocket.","Finalizado","2026-03-11 00:00:00","2026-03-11 00:00:00","2766","Cliente informado"
"213","1806","4494","Diagnóstico de falla de encendido.","Finalizado","2026-03-01 00:00:00","2026-02-19 00:00:00","1177","Entregado"
"214","4798","637","Reemplazo de pastillas de freno.","Finalizado","2026-03-13 00:00:00","2026-03-15 00:00:00","1396","Cliente informado"
"215","4445","1331","Revisión eléctrica y cambio de batería.","Finalizado","2026-03-04 00:00:00","2026-03-07 00:00:00","507","Entregado"
"216","4858","2655","Diagnóstico de falla de encendido.","Finalizado","2026-03-16 00:00:00","2026-03-17 00:00:00","1538","Cliente informado"
"217","4153","4138","Soldadura de soporte y refuerzo de chasis.","Finalizado","2026-03-14 00:00:00","2026-03-16 00:00:00","3358","Entregado"
"218","2297","2569","Ajuste y limpieza de carburador.","Finalizado","2026-03-03 00:00:00","2026-03-03 00:00:00","951","Cliente informado"
"219","3705","3860","Ajuste de clutch y transmisión.","Finalizado","2026-03-04 00:00:00","2026-03-05 00:00:00","2905","Entregado"
"220","2045","232","Cambio de bujía y calibración.","Finalizado","2026-03-01 00:00:00","2026-03-04 00:00:00","964","Cliente informado"
"221","2813","4926","Cambio de cadena y sprocket.","Finalizado","2026-03-02 00:00:00","2026-03-03 00:00:00","1307","Entregado"
"222","4041","2501","Ajuste de clutch y transmisión.","Finalizado","2026-03-01 00:00:00","2026-03-01 00:00:00","1743","Cliente informado"
"223","4381","2542","Cambio de bujía y calibración.","Finalizado","2026-03-03 00:00:00","2026-03-07 00:00:00","4160","Entregado"
"224","4116","41","Diagnóstico de falla de encendido.","Finalizado","2026-03-05 00:00:00","2026-03-08 00:00:00","5272","Cliente informado"
"225","682","2567","Reparación de suspensión delantera.","Finalizado","2026-03-26 00:00:00","2026-03-16 00:00:00","1971","Entregado"
"226","3102","4494","Reparación de frenos delanteros.","Finalizado","2026-03-27 00:00:00","2026-03-30 00:00:00","4396","Cliente informado"
"227","2908","1492","Revisión eléctrica y cambio de batería.","Finalizado","2026-03-21 00:00:00","2026-03-21 00:00:00","1375","Entregado"
"228","4385","4910","Mantenimiento general y ajuste de motor.","Finalizado","2026-03-05 00:00:00","2026-03-07 00:00:00","3536","Cliente informado"
"229","4684","4196","Reemplazo de pastillas de freno.","Finalizado","2026-03-28 00:00:00","2026-04-01 00:00:00","2693","Entregado"
"230","3759","2943","Revisión eléctrica y cambio de batería.","Finalizado","2026-03-27 00:00:00","2026-03-31 00:00:00","2693","Cliente informado"
"231","95","4786","Diagnóstico de falla de encendido.","Entregado","2026-03-24 00:00:00","2026-03-24 00:00:00","1706","Entregado"
"232","3273","4195","Reemplazo de pastillas de freno.","Finalizado","2026-03-16 00:00:00","2026-03-19 00:00:00","1019","Cliente informado"
"233","4177","1370","Soldadura de soporte y refuerzo de chasis.","Finalizado","2026-03-04 00:00:00","2026-03-04 00:00:00","2877","Entregado"
"234","2492","557","Diagnóstico de falla de encendido.","Finalizado","2026-03-05 00:00:00","2026-03-08 00:00:00","4297","Cliente informado"
"235","4214","357","Soldadura de soporte y refuerzo de chasis.","Finalizado","2026-03-03 00:00:00","2026-03-06 00:00:00","5288","Entregado"
"236","3476","2810","Cambio de aceite y filtro.","En proceso","2026-03-12 00:00:00","2026-03-13 00:00:00","4928","Cliente informado"
"237","2780","4120","Reparación de suspensión delantera.","Finalizado","2026-03-11 00:00:00","2026-03-11 00:00:00","2043","Entregado"
"238","1685","5131","Mantenimiento general y ajuste de motor.","Finalizado","2026-03-16 00:00:00","2026-03-19 00:00:00","1623","Cliente informado"
"239","1285","565","Cambio de llanta trasera.","Finalizado","2026-03-06 00:00:00","2026-02-24 00:00:00","2304","Entregado"
"240","552","1625","Cambio de aceite y filtro.","Finalizado","2026-03-24 00:00:00","2026-03-26 00:00:00","3148","Cliente informado"
"241","2021","167","Ajuste y limpieza de carburador.","Finalizado","2026-03-21 00:00:00","2026-03-24 00:00:00","3419","Entregado"
"242","2486","93","Soldadura de soporte y refuerzo de chasis.","Finalizado","2026-03-09 00:00:00","2026-03-11 00:00:00","3606","Cliente informado"
"243","207","1353","Mantenimiento general y ajuste de motor.","Finalizado","2026-03-22 00:00:00","2026-03-22 00:00:00","3192","Entregado"
"244","3275","788","Soldadura de soporte y refuerzo de chasis.","Finalizado","2026-03-06 00:00:00","2026-03-10 00:00:00","5480","Cliente informado"
"245","249","4449","Ajuste de clutch y transmisión.","Finalizado","2026-03-01 00:00:00","2026-02-19 00:00:00","1883","Entregado"
"246","4704","3528","Reemplazo de pastillas de freno.","Finalizado","2026-03-22 00:00:00","2026-03-22 00:00:00","3855","Cliente informado"
"247","1631","1774","Cambio de cadena y sprocket.","Finalizado","2026-03-17 00:00:00","2026-03-20 00:00:00","5083","Entregado"
"248","3379","1932","Reparación de frenos delanteros.","Finalizado","2026-03-27 00:00:00","2026-03-30 00:00:00","4365","Cliente informado"
"249","1262","3424","Cambio de aceite y filtro.","Entregado","2026-03-23 00:00:00","2026-03-25 00:00:00","2602","Entregado"
"250","739","2603","Reparación de frenos delanteros.","Finalizado","2026-03-29 00:00:00","2026-03-29 00:00:00","5154","Cliente informado"
"251","135","606","Soldadura de soporte y refuerzo de chasis.","Finalizado","2026-03-14 00:00:00","2026-03-15 00:00:00","2200","Entregado"
"252","504","3267","Reparación de suspensión delantera.","Finalizado","2026-03-04 00:00:00","2026-03-05 00:00:00","2664","Cliente informado"
"253","4344","2673","Ajuste y limpieza de carburador.","Finalizado","2026-03-27 00:00:00","2026-03-31 00:00:00","2090","Entregado"
"254","902","5131","Ajuste y limpieza de carburador.","Finalizado","2026-03-25 00:00:00","2026-03-26 00:00:00","4784","Cliente informado"
"255","4256","4120","Limpieza de sistema de inyección.","Finalizado","2026-03-13 00:00:00","2026-03-03 00:00:00","3381","Entregado"
"256","3349","3967","Cambio de llanta trasera.","Finalizado","2026-03-15 00:00:00","2026-03-18 00:00:00","2571","Cliente informado"
"257","285","1039","Ajuste de clutch y transmisión.","Finalizado","2026-03-25 00:00:00","2026-03-27 00:00:00","3610","Entregado"
"258","3886","3307","Ajuste y limpieza de carburador.","Finalizado","2026-03-03 00:00:00","2026-03-04 00:00:00","3557","Cliente informado"
"259","1901","3769","Reemplazo de pastillas de freno.","Finalizado","2026-03-25 00:00:00","2026-03-15 00:00:00","3090","Entregado"
"260","3315","1733","Diagnóstico de falla de encendido.","Finalizado","2026-03-02 00:00:00","2026-03-06 00:00:00","4422","Cliente informado"
"261","4101","2274","Reemplazo de pastillas de freno.","Finalizado","2026-03-13 00:00:00","2026-03-17 00:00:00","4636","Entregado"
"262","654","4404","Revisión eléctrica y cambio de batería.","Finalizado","2026-03-14 00:00:00","2026-03-15 00:00:00","4325","Cliente informado"
"263","4924","2464","Revisión eléctrica y cambio de batería.","Finalizado","2026-03-23 00:00:00","2026-03-26 00:00:00","3856","Entregado"
"264","1160","3259","Cambio de bujía y calibración.","Finalizado","2026-03-21 00:00:00","2026-03-21 00:00:00","4704","Cliente informado"
"265","2447","786","Cambio de llanta trasera.","Finalizado","2026-03-23 00:00:00","2026-03-26 00:00:00","5103","Entregado"
"266","863","2202","Diagnóstico de falla de encendido.","En proceso","2026-03-22 00:00:00","2026-03-24 00:00:00","4308","Cliente informado"
"267","2046","596","Revisión eléctrica y cambio de batería.","Finalizado","2026-03-23 00:00:00","2026-03-27 00:00:00","2386","Entregado"
"268","836","1612","Cambio de cadena y sprocket.","Finalizado","2026-03-13 00:00:00","2026-03-17 00:00:00","4644","Cliente informado"
"269","1298","1103","Diagnóstico de falla de encendido.","Finalizado","2026-03-23 00:00:00","2026-03-27 00:00:00","4399","Entregado"
"270","4927","60","Ajuste de clutch y transmisión.","Finalizado","2026-02-28 00:00:00","2026-02-28 00:00:00","3195","Cliente informado"
"271","1368","3976","Reparación de suspensión delantera.","Finalizado","2026-03-08 00:00:00","2026-03-10 00:00:00","3864","Entregado"
"272","2122","189","Alineación de ruedas y balanceo.","Finalizado","2026-03-03 00:00:00","2026-03-04 00:00:00","3346","Cliente informado"
"273","2483","3889","Reparación de frenos delanteros.","Finalizado","2026-03-28 00:00:00","2026-03-30 00:00:00","3514","Entregado"
"274","3250","1019","Soldadura de soporte y refuerzo de chasis.","Finalizado","2026-03-16 00:00:00","2026-03-19 00:00:00","4317","Cliente informado"
"275","1673","938","Diagnóstico de falla de encendido.","Finalizado","2026-03-15 00:00:00","2026-03-17 00:00:00","5029","Entregado"
"276","2503","2151","Reemplazo de pastillas de freno.","Finalizado","2026-03-21 00:00:00","2026-03-21 00:00:00","2792","Cliente informado"
"277","4016","3247","Limpieza de sistema de inyección.","Finalizado","2026-03-26 00:00:00","2026-03-27 00:00:00","1477","Entregado"
"278","3239","273","Limpieza de sistema de inyección.","Finalizado","2026-03-07 00:00:00","2026-03-11 00:00:00","2351","Cliente informado"
"279","2563","2610","Reparación de frenos delanteros.","Finalizado","2026-03-28 00:00:00","2026-03-28 00:00:00","1191","Entregado"
"280","2270","464","Limpieza de sistema de inyección.","Finalizado","2026-03-18 00:00:00","2026-03-21 00:00:00","924","Cliente informado"
"281","2826","4263","Cambio de cadena y sprocket.","Finalizado","2026-03-18 00:00:00","2026-03-20 00:00:00","150","Entregado"
"282","2474","5253","Alineación de ruedas y balanceo.","Finalizado","2026-03-18 00:00:00","2026-03-21 00:00:00","3616","Cliente informado"
"283","88","1038","Cambio de bujía y calibración.","Finalizado","2026-03-19 00:00:00","2026-03-22 00:00:00","1587","Entregado"
"284","4477","1264","Cambio de bujía y calibración.","Entregado","2026-03-14 00:00:00","2026-03-18 00:00:00","2779","Cliente informado"
"285","1040","5177","Mantenimiento general y ajuste de motor.","Finalizado","2026-03-17 00:00:00","2026-03-21 00:00:00","2020","Entregado"
"286","4375","3153","Cambio de llanta trasera.","Finalizado","2026-02-28 00:00:00","2026-02-28 00:00:00","4547","Cliente informado"
"287","4257","465","Soldadura de soporte y refuerzo de chasis.","Finalizado","2026-03-22 00:00:00","2026-03-23 00:00:00","3518","Entregado"
"288","1519","5237","Diagnóstico de falla de encendido.","Finalizado","2026-03-18 00:00:00","2026-03-22 00:00:00","1603","Cliente informado"
"289","3344","852","Cambio de llanta trasera.","Finalizado","2026-02-28 00:00:00","2026-03-04 00:00:00","3740","Entregado"
"290","4404","4099","Ajuste y limpieza de carburador.","En proceso","2026-03-19 00:00:00","2026-03-22 00:00:00","3837","Cliente informado"
"291","4897","2116","Reparación de frenos delanteros.","Entregado","2026-03-21 00:00:00","2026-03-23 00:00:00","4766","Entregado"
"292","3975","4398","Reparación de frenos delanteros.","Finalizado","2026-03-07 00:00:00","2026-03-11 00:00:00","5419","Cliente informado"
"293","2384","4613","Ajuste y limpieza de carburador.","Finalizado","2026-03-11 00:00:00","2026-03-13 00:00:00","150","Entregado"
"294","4804","3937","Mantenimiento general y ajuste de motor.","Finalizado","2026-03-08 00:00:00","2026-03-09 00:00:00","3275","Cliente informado"
"295","4409","4511","Cambio de aceite y filtro.","Finalizado","2026-03-01 00:00:00","2026-03-03 00:00:00","150","Entregado"
"296","2266","4726","Reparación de suspensión delantera.","Finalizado","2026-03-29 00:00:00","2026-03-19 00:00:00","4413","Cliente informado"
"297","4891","1912","Diagnóstico de falla de encendido.","En proceso","2026-03-12 00:00:00","2026-03-12 00:00:00","2620","Entregado"
"298","3188","4791","Reparación de frenos delanteros.","Finalizado","2026-03-21 00:00:00","2026-03-25 00:00:00","4554","Cliente informado"
"299","108","725","Reparación de suspensión delantera.","Finalizado","2026-03-04 00:00:00","2026-03-04 00:00:00","1185","Entregado"
"300","4351","3126","Reparación de frenos delanteros.","Finalizado","2026-03-19 00:00:00","2026-03-20 00:00:00","3109","Cliente informado"
"301","3588","3089","Cambio de aceite y filtro.","Entregado","2026-03-23 00:00:00","2026-03-26 00:00:00","1528","Entregado"
"302","3212","3463","Ajuste y limpieza de carburador.","Finalizado","2026-03-22 00:00:00","2026-03-25 00:00:00","1227","Cliente informado"
"303","4261","977","Limpieza de sistema de inyección.","Finalizado","2026-03-08 00:00:00","2026-03-10 00:00:00","517","Entregado"
"304","2775","1770","Cambio de bujía y calibración.","En proceso","2026-03-24 00:00:00","2026-03-27 00:00:00","1037","Cliente informado"
"305","2516","3208","Cambio de aceite y filtro.","Finalizado","2026-03-20 00:00:00","2026-03-23 00:00:00","3423","Entregado"
"306","2617","2520","Reparación de frenos delanteros.","Finalizado","2026-03-11 00:00:00","2026-03-11 00:00:00","5049","Cliente informado"
"307","1401","1351","Ajuste y limpieza de carburador.","Finalizado","2026-03-28 00:00:00","2026-03-29 00:00:00","1649","Entregado"
"308","1869","68","Soldadura de soporte y refuerzo de chasis.","Finalizado","2026-03-14 00:00:00","2026-03-14 00:00:00","2805","Cliente informado"
"309","4449","923","Cambio de aceite y filtro.","Finalizado","2026-03-21 00:00:00","2026-03-21 00:00:00","1381","Entregado"
"310","1904","4554","Ajuste de clutch y transmisión.","Finalizado","2026-03-17 00:00:00","2026-03-20 00:00:00","1199","Cliente informado"
"311","1455","3126","Mantenimiento general y ajuste de motor.","Finalizado","2026-02-28 00:00:00","2026-03-04 00:00:00","3001","Entregado"
"312","1393","12","Ajuste y limpieza de carburador.","Entregado","2026-03-15 00:00:00","2026-03-15 00:00:00","3976","Cliente informado"
"313","1368","708","Diagnóstico de falla de encendido.","Finalizado","2026-03-19 00:00:00","2026-03-22 00:00:00","3832","Entregado"
"314","1795","4343","Reparación de frenos delanteros.","Finalizado","2026-03-29 00:00:00","2026-03-31 00:00:00","4787","Cliente informado"
"315","1008","1828","Cambio de cadena y sprocket.","Finalizado","2026-03-07 00:00:00","2026-03-09 00:00:00","639","Entregado"
"316","3085","5282","Cambio de bujía y calibración.","Finalizado","2026-03-16 00:00:00","2026-03-16 00:00:00","4459","Cliente informado"
"317","2887","4433","Cambio de llanta trasera.","Finalizado","2026-03-07 00:00:00","2026-03-09 00:00:00","1508","Entregado"
"318","3885","3774","Reparación de frenos delanteros.","Finalizado","2026-03-15 00:00:00","2026-03-18 00:00:00","2608","Cliente informado"
"319","530","2169","Diagnóstico de falla de encendido.","Finalizado","2026-03-14 00:00:00","2026-03-15 00:00:00","2124","Entregado"
"320","1542","3918","Revisión eléctrica y cambio de batería.","En proceso","2026-03-18 00:00:00","2026-03-20 00:00:00","5452","Cliente informado"
"321","299","58","Limpieza de sistema de inyección.","Finalizado","2026-03-03 00:00:00","2026-03-05 00:00:00","1419","Entregado"
"322","3061","4503","Soldadura de soporte y refuerzo de chasis.","Finalizado","2026-03-21 00:00:00","2026-03-22 00:00:00","150","Cliente informado"
"323","386","419","Soldadura de soporte y refuerzo de chasis.","Finalizado","2026-03-19 00:00:00","2026-03-19 00:00:00","3741","Entregado"
"324","158","396","Reparación de suspensión delantera.","Finalizado","2026-03-04 00:00:00","2026-03-07 00:00:00","768","Cliente informado"
"325","1504","2716","Reparación de suspensión delantera.","Finalizado","2026-03-07 00:00:00","2026-03-10 00:00:00","4314","Entregado"
"326","3464","4605","Cambio de llanta trasera.","Finalizado","2026-03-06 00:00:00","2026-03-06 00:00:00","4121","Cliente informado"
"327","4726","1559","Reparación de frenos delanteros.","Finalizado","2026-03-23 00:00:00","2026-03-24 00:00:00","1101","Entregado"
"328","4358","4167","Reemplazo de pastillas de freno.","Finalizado","2026-03-16 00:00:00","2026-03-18 00:00:00","1511","Cliente informado"
"329","1169","708","Cambio de llanta trasera.","Finalizado","2026-03-14 00:00:00","2026-03-18 00:00:00","578","Entregado"
"330","1718","1692","Reemplazo de pastillas de freno.","Finalizado","2026-03-02 00:00:00","2026-02-20 00:00:00","4419","Cliente informado"
"331","3185","2721","Alineación de ruedas y balanceo.","Entregado","2026-03-22 00:00:00","2026-03-26 00:00:00","2046","Entregado"
"332","1703","1339","Reparación de frenos delanteros.","Finalizado","2026-03-14 00:00:00","2026-03-14 00:00:00","150","Cliente informado"
"333","905","2923","Ajuste y limpieza de carburador.","Finalizado","2026-03-10 00:00:00","2026-03-11 00:00:00","4373","Entregado"
"334","3895","1935","Ajuste y limpieza de carburador.","Finalizado","2026-03-05 00:00:00","2026-03-05 00:00:00","2046","Cliente informado"
"335","1610","3118","Cambio de bujía y calibración.","Finalizado","2026-03-16 00:00:00","2026-03-06 00:00:00","2223","Entregado"
"336","3770","1561","Alineación de ruedas y balanceo.","Finalizado","2026-03-11 00:00:00","2026-03-14 00:00:00","1140","Cliente informado"
"337","356","5311","Mantenimiento general y ajuste de motor.","Finalizado","2026-03-04 00:00:00","2026-03-08 00:00:00","1500","Entregado"
"338","4666","3999","Alineación de ruedas y balanceo.","Finalizado","2026-03-14 00:00:00","2026-03-16 00:00:00","2518","Cliente informado"
"339","2098","2476","Alineación de ruedas y balanceo.","Finalizado","2026-03-17 00:00:00","2026-03-21 00:00:00","2326","Entregado"
"340","4894","429","Cambio de llanta trasera.","Finalizado","2026-03-14 00:00:00","2026-03-17 00:00:00","5241","Cliente informado"
"341","3531","4342","Ajuste de clutch y transmisión.","Finalizado","2026-02-28 00:00:00","2026-02-28 00:00:00","3084","Entregado"
"342","1874","3368","Limpieza de sistema de inyección.","En proceso","2026-03-05 00:00:00","2026-03-05 00:00:00","4335","Cliente informado"
"343","4806","3666","Cambio de aceite y filtro.","Finalizado","2026-03-07 00:00:00","2026-03-08 00:00:00","4420","Entregado"
"344","3604","4644","Cambio de bujía y calibración.","Finalizado","2026-03-06 00:00:00","2026-03-07 00:00:00","150","Cliente informado"
"345","886","12","Cambio de bujía y calibración.","Finalizado","2026-03-03 00:00:00","2026-03-03 00:00:00","3456","Entregado"
"346","2388","5026","Cambio de bujía y calibración.","Finalizado","2026-03-11 00:00:00","2026-03-11 00:00:00","5396","Cliente informado"
"347","4823","1916","Ajuste y limpieza de carburador.","Finalizado","2026-03-15 00:00:00","2026-03-16 00:00:00","1073","Entregado"
"348","1688","396","Cambio de aceite y filtro.","Finalizado","2026-03-23 00:00:00","2026-03-27 00:00:00","4110","Cliente informado"
"349","1703","3160","Alineación de ruedas y balanceo.","Finalizado","2026-03-17 00:00:00","2026-03-21 00:00:00","5493","Entregado"
"350","58","3681","Limpieza de sistema de inyección.","Finalizado","2026-03-29 00:00:00","2026-04-02 00:00:00","561","Cliente informado"
"351","2447","387","Mantenimiento general y ajuste de motor.","Finalizado","2026-03-24 00:00:00","2026-03-25 00:00:00","2564","Entregado"
"352","3154","1059","Reemplazo de pastillas de freno.","Entregado","2026-03-27 00:00:00","2026-03-27 00:00:00","4335","Cliente informado"
"353","4993","5047","Ajuste de clutch y transmisión.","Finalizado","2026-03-18 00:00:00","2026-03-19 00:00:00","1444","Entregado"
"354","2852","4691","Ajuste y limpieza de carburador.","Finalizado","2026-03-03 00:00:00","2026-03-05 00:00:00","150","Cliente informado"
"355","1702","1801","Reparación de frenos delanteros.","Finalizado","2026-03-05 00:00:00","2026-02-23 00:00:00","5258","Entregado"
"356","1103","2649","Reparación de frenos delanteros.","Finalizado","2026-03-10 00:00:00","2026-03-12 00:00:00","1393","Cliente informado"
"357","3401","4312","Reparación de frenos delanteros.","Finalizado","2026-03-06 00:00:00","2026-03-09 00:00:00","682","Entregado"
"358","3510","3426","Diagnóstico de falla de encendido.","Finalizado","2026-03-18 00:00:00","2026-03-19 00:00:00","949","Cliente informado"
"359","3295","3651","Cambio de llanta trasera.","Finalizado","2026-03-19 00:00:00","2026-03-21 00:00:00","4964","Entregado"
"360","2458","2190","Revisión eléctrica y cambio de batería.","Finalizado","2026-03-07 00:00:00","2026-03-08 00:00:00","2242","Cliente informado"
"361","3090","3391","Alineación de ruedas y balanceo.","Finalizado","2026-03-02 00:00:00","2026-03-02 00:00:00","3484","Entregado"
"362","795","2144","Revisión eléctrica y cambio de batería.","Finalizado","2026-03-20 00:00:00","2026-03-24 00:00:00","1573","Cliente informado"
"363","2016","1369","Cambio de cadena y sprocket.","Finalizado","2026-03-02 00:00:00","2026-03-04 00:00:00","1140","Entregado"
"364","3648","1756","Cambio de llanta trasera.","Finalizado","2026-03-07 00:00:00","2026-03-10 00:00:00","1716","Cliente informado"
"365","3438","5219","Reparación de frenos delanteros.","Finalizado","2026-03-22 00:00:00","2026-03-22 00:00:00","150","Entregado"
"366","2902","4468","Ajuste de clutch y transmisión.","Finalizado","2026-03-01 00:00:00","2026-03-01 00:00:00","2052","Cliente informado"
"367","3720","3889","Soldadura de soporte y refuerzo de chasis.","Finalizado","2026-03-26 00:00:00","2026-03-30 00:00:00","3172","Entregado"
"368","4369","4843","Ajuste y limpieza de carburador.","Finalizado","2026-03-07 00:00:00","2026-03-10 00:00:00","922","Cliente informado"
"369","1634","4956","Cambio de llanta trasera.","Finalizado","2026-03-18 00:00:00","2026-03-20 00:00:00","4435","Entregado"
"370","2855","1324","Reemplazo de pastillas de freno.","Finalizado","2026-03-20 00:00:00","2026-03-24 00:00:00","640","Cliente informado"
"371","1693","1184","Ajuste de clutch y transmisión.","Finalizado","2026-03-16 00:00:00","2026-03-20 00:00:00","2963","Entregado"
"372","4830","1055","Ajuste de clutch y transmisión.","Finalizado","2026-03-23 00:00:00","2026-03-23 00:00:00","150","Cliente informado"
"373","857","1411","Diagnóstico de falla de encendido.","Finalizado","2026-03-04 00:00:00","2026-03-04 00:00:00","4613","Entregado"
"374","4766","3833","Ajuste y limpieza de carburador.","Finalizado","2026-03-11 00:00:00","2026-03-14 00:00:00","2423","Cliente informado"
"375","3314","2099","Cambio de aceite y filtro.","Finalizado","2026-03-22 00:00:00","2026-03-25 00:00:00","3874","Entregado"
"376","3098","737","Cambio de bujía y calibración.","Finalizado","2026-03-11 00:00:00","2026-03-12 00:00:00","4857","Cliente informado"
"377","4085","3309","Diagnóstico de falla de encendido.","Finalizado","2026-03-27 00:00:00","2026-03-31 00:00:00","1824","Entregado"
"378","3492","5265","Ajuste de clutch y transmisión.","Finalizado","2026-03-24 00:00:00","2026-03-28 00:00:00","2638","Cliente informado"
"379","5","55","Cambio de aceite y filtro.","Finalizado","2026-03-11 00:00:00","2026-03-14 00:00:00","1310","Entregado"
"380","4161","5158","Ajuste y limpieza de carburador.","Finalizado","2026-03-06 00:00:00","2026-03-06 00:00:00","711","Cliente informado"
"381","2508","5186","Soldadura de soporte y refuerzo de chasis.","Finalizado","2026-03-11 00:00:00","2026-03-13 00:00:00","1703","Entregado"
"382","3088","1475","Reemplazo de pastillas de freno.","Finalizado","2026-03-23 00:00:00","2026-03-23 00:00:00","1321","Cliente informado"
"383","4735","33","Ajuste de clutch y transmisión.","Finalizado","2026-03-28 00:00:00","2026-03-31 00:00:00","3856","Entregado"
"384","2497","130","Reparación de frenos delanteros.","Finalizado","2026-02-28 00:00:00","2026-03-01 00:00:00","1979","Cliente informado"
"385","2479","5175","Revisión eléctrica y cambio de batería.","Finalizado","2026-03-19 00:00:00","2026-03-22 00:00:00","4707","Entregado"
"386","1009","2926","Alineación de ruedas y balanceo.","Finalizado","2026-03-05 00:00:00","2026-03-08 00:00:00","1403","Cliente informado"
"387","1739","5149","Cambio de llanta trasera.","Finalizado","2026-03-16 00:00:00","2026-03-16 00:00:00","1313","Entregado"
"388","4149","4791","Cambio de llanta trasera.","Finalizado","2026-03-07 00:00:00","2026-03-11 00:00:00","4948","Cliente informado"
"389","1274","4766","Reparación de frenos delanteros.","Finalizado","2026-03-09 00:00:00","2026-03-09 00:00:00","1732","Entregado"
"390","696","537","Ajuste de clutch y transmisión.","Finalizado","2026-03-27 00:00:00","2026-03-28 00:00:00","2211","Cliente informado"
"391","3344","125","Alineación de ruedas y balanceo.","Finalizado","2026-03-08 00:00:00","2026-03-08 00:00:00","2275","Entregado"
"392","4068","1264","Soldadura de soporte y refuerzo de chasis.","En proceso","2026-03-26 00:00:00","2026-03-26 00:00:00","793","Cliente informado"
"393","2043","1768","Cambio de aceite y filtro.","Finalizado","2026-03-26 00:00:00","2026-03-26 00:00:00","4904","Entregado"
"394","3858","27","Revisión eléctrica y cambio de batería.","Finalizado","2026-03-23 00:00:00","2026-03-25 00:00:00","1886","Cliente informado"
"395","2805","4927","Alineación de ruedas y balanceo.","Finalizado","2026-03-28 00:00:00","2026-03-30 00:00:00","150","Entregado"
"396","638","748","Cambio de aceite y filtro.","Finalizado","2026-03-08 00:00:00","2026-03-09 00:00:00","3954","Cliente informado"
"397","285","420","Alineación de ruedas y balanceo.","Finalizado","2026-03-24 00:00:00","2026-03-24 00:00:00","1424","Entregado"
"398","747","2868","Cambio de cadena y sprocket.","Entregado","2026-03-21 00:00:00","2026-03-25 00:00:00","5473","Cliente informado"
"399","4366","4693","Soldadura de soporte y refuerzo de chasis.","Finalizado","2026-03-18 00:00:00","2026-03-19 00:00:00","3047","Entregado"
"400","4880","3275","Reemplazo de pastillas de freno.","Finalizado","2026-03-28 00:00:00","2026-04-01 00:00:00","4029","Cliente informado"
"401","653","3443","Reemplazo de pastillas de freno.","Finalizado","2026-03-27 00:00:00","2026-03-28 00:00:00","5156","Entregado"
"402","963","1924","Cambio de llanta trasera.","Finalizado","2026-02-28 00:00:00","2026-03-04 00:00:00","1677","Cliente informado"
"403","4406","4924","Cambio de cadena y sprocket.","En proceso","2026-03-11 00:00:00","2026-03-15 00:00:00","1177","Entregado"
"404","4443","2716","Alineación de ruedas y balanceo.","Finalizado","2026-03-11 00:00:00","2026-03-13 00:00:00","920","Cliente informado"
"405","135","3855","Limpieza de sistema de inyección.","Finalizado","2026-03-19 00:00:00","2026-03-09 00:00:00","2638","Entregado"
"406","4633","3663","Limpieza de sistema de inyección.","Finalizado","2026-03-14 00:00:00","2026-03-18 00:00:00","3745","Cliente informado"
"407","4313","2663","Reemplazo de pastillas de freno.","Finalizado","2026-03-17 00:00:00","2026-03-17 00:00:00","4344","Entregado"
"408","246","918","Diagnóstico de falla de encendido.","Finalizado","2026-03-05 00:00:00","2026-02-23 00:00:00","5096","Cliente informado"
"409","800","5194","Cambio de bujía y calibración.","Finalizado","2026-03-01 00:00:00","2026-03-05 00:00:00","3384","Entregado"
"410","3541","2237","Limpieza de sistema de inyección.","Finalizado","2026-03-13 00:00:00","2026-03-17 00:00:00","3031","Cliente informado"
"411","4286","502","Cambio de llanta trasera.","Finalizado","2026-03-23 00:00:00","2026-03-27 00:00:00","4235","Entregado"
"412","119","4396","Revisión eléctrica y cambio de batería.","Entregado","2026-03-02 00:00:00","2026-03-04 00:00:00","1871","Cliente informado"
"413","2533","2190","Reparación de frenos delanteros.","Finalizado","2026-03-25 00:00:00","2026-03-29 00:00:00","1815","Entregado"
"414","4354","3217","Cambio de cadena y sprocket.","Finalizado","2026-03-07 00:00:00","2026-02-25 00:00:00","4894","Cliente informado"
"415","2881","1593","Reparación de frenos delanteros.","Finalizado","2026-03-05 00:00:00","2026-03-06 00:00:00","4067","Entregado"
"416","943","1999","Cambio de aceite y filtro.","Finalizado","2026-03-01 00:00:00","2026-03-05 00:00:00","3247","Cliente informado"
"417","1076","1896","Reparación de suspensión delantera.","Finalizado","2026-03-19 00:00:00","2026-03-23 00:00:00","2092","Entregado"
"418","795","3736","Limpieza de sistema de inyección.","Finalizado","2026-03-22 00:00:00","2026-03-12 00:00:00","2852","Cliente informado"
"419","2736","4348","Diagnóstico de falla de encendido.","Finalizado","2026-03-28 00:00:00","2026-03-31 00:00:00","2953","Entregado"
"420","52","2859","Cambio de aceite y filtro.","Finalizado","2026-03-29 00:00:00","2026-03-30 00:00:00","5139","Cliente informado"
"421","2663","1801","Limpieza de sistema de inyección.","Finalizado","2026-03-12 00:00:00","2026-03-12 00:00:00","1155","Entregado"
